component,mass_kg,x_mm,y_mm,z_mm,source,status
chassis_drives_and_ballast,16,0,0,110,revision_d_design_spec,ESTIMATE
battery,20,0,-35,100,2kWh_pack_mass_reservation,ESTIMATE
lifting_platform,7.5,0,0,500,revision_d_design_spec,ESTIMATE
torso_electronics,5,0,15,1065,revision_d_design_spec,ESTIMATE
shell_and_bay,3.5,0,0,1065,revision_d_design_spec,ESTIMATE
left_seven_axis_arm,10,-180,0,900,supplier_class_mass_reservation,ESTIMATE
right_seven_axis_arm,10,180,0,900,supplier_class_mass_reservation,ESTIMATE
head_display,1.5,0,5,1386,revision_d_design_spec,ESTIMATE
tools_and_bimanual_payload,4,0,-280,760,rated_bimanual_payload_case,ESTIMATE
